"File 1","Confidence","Start Line","End Line","File 2","Confidence","Start Line","End Line"
"./data/GerHobbelt_3616279.html","98","405","882","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","405","882"
"./data/GerHobbelt_3616279.html","98","917","968","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","917","968"
"./data/GerHobbelt_3616279.html","98","968","1020","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","968","1020"
"./data/GerHobbelt_3616279.html","98","1028","1074","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1028","1074"
"./data/GerHobbelt_3616279.html","98","883","916","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","883","916"
"./data/GerHobbelt_3616279.html","98","1021","1028","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1021","1028"
"./data/GerHobbelt_3616279.html","98","1","405","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1","405"
"./data/GerHobbelt_3616279.html","98","405","882","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","405","882"
"./data/GerHobbelt_3616279.html","98","917","968","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","917","968"
"./data/GerHobbelt_3616279.html","98","968","1020","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","968","1020"
"./data/GerHobbelt_3616279.html","98","1028","1074","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1028","1074"
"./data/GerHobbelt_3616279.html","98","883","916","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","883","916"
"./data/GerHobbelt_3616279.html","98","1021","1028","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1021","1028"
"./data/GerHobbelt_3616279.html","98","1","405","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1","405"
"./data/GerHobbelt_3616279.html","98","405","882","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","405","882"
"./data/GerHobbelt_3616279.html","98","917","968","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","917","968"
"./data/GerHobbelt_3616279.html","98","968","1020","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","968","1020"
"./data/GerHobbelt_3616279.html","98","1028","1074","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1028","1074"
"./data/GerHobbelt_3616279.html","98","883","916","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","883","916"
"./data/GerHobbelt_3616279.html","98","1021","1028","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1021","1028"
"./data/GerHobbelt_3616279.html","98","1","405","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1","405"
"./data/GerHobbelt_3616279.html","98","405","882","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","405","882"
"./data/GerHobbelt_3616279.html","98","917","968","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","917","968"
"./data/GerHobbelt_3616279.html","98","968","1020","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","968","1020"
"./data/GerHobbelt_3616279.html","98","1028","1074","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1028","1074"
"./data/GerHobbelt_3616279.html","98","883","916","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","883","916"
"./data/GerHobbelt_3616279.html","98","1021","1028","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1021","1028"
"./data/GerHobbelt_3616279.html","98","1","405","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1","405"
"./data/GerHobbelt_3616279.html","98","405","882","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","405","882"
"./data/GerHobbelt_3616279.html","98","917","968","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","917","968"
"./data/GerHobbelt_3616279.html","98","968","1020","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","968","1020"
"./data/GerHobbelt_3616279.html","98","1028","1074","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1028","1074"
"./data/GerHobbelt_3616279.html","98","883","916","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","883","916"
"./data/GerHobbelt_3616279.html","98","1021","1028","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1021","1028"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
