"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match43.html","./data/Rico3734_3a387f8041e1dc31d718.html","96","./data/diskmanti_bc208f5266e4ffd5484a.html","96","23"
"http://moss.stanford.edu/results/781444417/match44.html","./data/fabid_0c4cf357ab5ed3e90382.html","32","./data/fabid_8b6a0277075d770f088a.html","19","28"
"http://moss.stanford.edu/results/781444417/match45.html","./data/abhishekpolavarapu_337680374993cf1d8c08.html","65","./data/abhishekpolavarapu_a36a5c86ea905ac72229.html","72","31"
"http://moss.stanford.edu/results/781444417/match46.html","./data/fabid_024452c42b94723b401d.html","14","./data/fabid_0c4cf357ab5ed3e90382.html","29","24"
"http://moss.stanford.edu/results/781444417/match47.html","./data/emeeks_040c4eb87d36de3c87d3.html","18","./data/jalapic_528b427834c7004dba89.html","28","28"
"http://moss.stanford.edu/results/781444417/match48.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","51","./data/fabid_0c4cf357ab5ed3e90382.html","28","19"
"http://moss.stanford.edu/results/781444417/match49.html","./data/emeeks_040c4eb87d36de3c87d3.html","17","./data/emeeks_d25690581801fc0c1cfd.html","29","28"
"http://moss.stanford.edu/results/781444417/match50.html","./data/Rico3734_fa14dff4959ccb0886a9.html","50","./data/mbostock_3305937.html","29","16"
"http://moss.stanford.edu/results/781444417/match51.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","47","./data/mbostock_3305937.html","29","16"
"http://moss.stanford.edu/results/781444417/match52.html","./data/fabid_0c4cf357ab5ed3e90382.html","26","./data/mbostock_3305937.html","28","20"
"http://moss.stanford.edu/results/781444417/match53.html","./data/fabid_0c4cf357ab5ed3e90382.html","25","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","41","15"
"http://moss.stanford.edu/results/781444417/match54.html","./data/1wheel_1b6758978dc2d52d3a37.html","47","./data/1wheel_34dde25598bff6b6f76c.html","29","33"
"http://moss.stanford.edu/results/781444417/match55.html","./data/Rico3734_fa14dff4959ccb0886a9.html","45","./data/fabid_0c4cf357ab5ed3e90382.html","24","18"
"http://moss.stanford.edu/results/781444417/match56.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","41","./data/fabid_0c4cf357ab5ed3e90382.html","24","18"
"http://moss.stanford.edu/results/781444417/match57.html","./data/dmijalkovic_52fb07194d4b2988cafb.html","16","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","38","13"
"http://moss.stanford.edu/results/781444417/match58.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","39","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","63","18"
"http://moss.stanford.edu/results/781444417/match59.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","39","./data/diskmanti_bc208f5266e4ffd5484a.html","63","18"
"http://moss.stanford.edu/results/781444417/match60.html","./data/Rico3734_3a387f8041e1dc31d718.html","63","./data/anatolyg_25fa3e51da9a1ac22e02.html","39","18"
"http://moss.stanford.edu/results/781444417/match61.html","./data/eesur_11f85e7981c7b203768e.html","57","./data/eesur_bb447868dab07ebf9717.html","65","16"
"http://moss.stanford.edu/results/781444417/match62.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","37","./data/dmijalkovic_52fb07194d4b2988cafb.html","14","10"
"http://moss.stanford.edu/results/781444417/match63.html","./data/dmijalkovic_52fb07194d4b2988cafb.html","12","./data/mbostock_3305937.html","19","10"
"http://moss.stanford.edu/results/781444417/match64.html","./data/dmijalkovic_52fb07194d4b2988cafb.html","12","./data/fabid_0c4cf357ab5ed3e90382.html","18","12"
"http://moss.stanford.edu/results/781444417/match65.html","./data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","5","./data/cool-Blue_bd76db6e38915c30fc5b.html","5","8"
"http://moss.stanford.edu/results/781444417/match66.html","./data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","5","./data/cool-Blue_ae365cfb13ad972c65f4.html","3","8"
"http://moss.stanford.edu/results/781444417/match67.html","./data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","5","./data/cool-Blue_7afd8ab920fd01779e01.html","3","8"
"http://moss.stanford.edu/results/781444417/match68.html","./data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","5","./data/cool-Blue_37d16cd71dd52bd655b4.html","2","8"
"http://moss.stanford.edu/results/781444417/match69.html","./data/harasaki_5a1e11cb302b66fc0b8b.html","44","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","27","13"
