"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/773944609/match40.html","data/anatolyg_25fa3e51da9a1ac22e02.html","32","data/mbostock_3305937.html","16","5"
"http://moss.stanford.edu/results/773944609/match41.html","data/anatolyg_25fa3e51da9a1ac22e02.html","32","data/fabid_0c4cf357ab5ed3e90382.html","15","5"
"http://moss.stanford.edu/results/773944609/match42.html","data/Rico3734_fa14dff4959ccb0886a9.html","31","data/yassineAlouini_fdbca6ea6f4416e6b328.html","28","5"
"http://moss.stanford.edu/results/773944609/match43.html","data/Rico3734_fa14dff4959ccb0886a9.html","31","data/dmijalkovic_52fb07194d4b2988cafb.html","9","7"
"http://moss.stanford.edu/results/773944609/match44.html","data/Rico3734_fa14dff4959ccb0886a9.html","31","data/anatolyg_25fa3e51da9a1ac22e02.html","32","5"
"http://moss.stanford.edu/results/773944609/match45.html","data/Rico3734_2d06a6aadbb4af3398ba.html","28","data/yassineAlouini_fdbca6ea6f4416e6b328.html","28","5"
"http://moss.stanford.edu/results/773944609/match46.html","data/Rico3734_2d06a6aadbb4af3398ba.html","28","data/dmijalkovic_52fb07194d4b2988cafb.html","9","7"
"http://moss.stanford.edu/results/773944609/match47.html","data/Rico3734_2d06a6aadbb4af3398ba.html","28","data/anatolyg_25fa3e51da9a1ac22e02.html","32","5"
"http://moss.stanford.edu/results/773944609/match48.html","data/jalapic_528b427834c7004dba89.html","13","data/john-guerra_14c943d8f198d9f3fef2.html","13","6"
"http://moss.stanford.edu/results/773944609/match49.html","data/emeeks_d25690581801fc0c1cfd.html","15","data/john-guerra_14c943d8f198d9f3fef2.html","13","6"
"http://moss.stanford.edu/results/773944609/match50.html","data/emeeks_040c4eb87d36de3c87d3.html","8","data/john-guerra_14c943d8f198d9f3fef2.html","13","6"
"http://moss.stanford.edu/results/773944609/match51.html","data/fabid_8b6a0277075d770f088a.html","6","data/mbostock_3305937.html","12","10"
"http://moss.stanford.edu/results/773944609/match52.html","data/Rico3734_fa14dff4959ccb0886a9.html","23","data/fabid_8b6a0277075d770f088a.html","6","10"
"http://moss.stanford.edu/results/773944609/match53.html","data/Rico3734_2d06a6aadbb4af3398ba.html","20","data/fabid_8b6a0277075d770f088a.html","6","10"
"http://moss.stanford.edu/results/773944609/match54.html","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","data/yassineAlouini_fdbca6ea6f4416e6b328.html","18","5"
"http://moss.stanford.edu/results/773944609/match55.html","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","data/mbostock_3305937.html","10","5"
"http://moss.stanford.edu/results/773944609/match56.html","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","data/fabid_0c4cf357ab5ed3e90382.html","10","5"
"http://moss.stanford.edu/results/773944609/match57.html","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","data/dmijalkovic_52fb07194d4b2988cafb.html","6","5"
"http://moss.stanford.edu/results/773944609/match58.html","data/anatolyg_25fa3e51da9a1ac22e02.html","20","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/773944609/match59.html","data/Rico3734_fa14dff4959ccb0886a9.html","20","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/773944609/match60.html","data/Rico3734_2d06a6aadbb4af3398ba.html","18","data/balajikvijayan_f7b24a7a56e5caa479d2.html","4","5"
"http://moss.stanford.edu/results/773944609/match61.html","data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","2","data/balajikvijayan_1412be68265ae0315cb5.html","6","4"
"http://moss.stanford.edu/results/773944609/match62.html","data/anatolyg_25fa3e51da9a1ac22e02.html","15","data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","34","6"
"http://moss.stanford.edu/results/773944609/match63.html","data/anatolyg_25fa3e51da9a1ac22e02.html","15","data/diskmanti_bc208f5266e4ffd5484a.html","34","6"
"http://moss.stanford.edu/results/773944609/match64.html","data/Rico3734_3a387f8041e1dc31d718.html","34","data/anatolyg_25fa3e51da9a1ac22e02.html","15","6"
"http://moss.stanford.edu/results/773944609/match65.html","data/mbostock_1300016.html","94","data/mbostock_bb09af4c39c79cffcde4.html","94","6"
